id,client,client_type,may_be_named,domain,region,challenge,solution,technologies,team_size,duration_months,outcomes
eng-01,Gulf Union Bank,Tier-1 GCC retail bank,False,core banking,GCC,"The legacy core banking platform could not support real-time payments, and end-of-day batch windows were overrunning into business hours.","A phased migration from the legacy core to a modern event-driven platform, run as a shadow migration so the old and new systems processed in parallel until cutover.",Java; Spring Boot; Kafka; PostgreSQL,14,11,"metric: payment latency reduced 45%, source_ref: closeout.pdf#page=5; metric: batch window shortened from 6 hours to 90 minutes, source_ref: closeout.pdf#page=5; metric: zero unplanned downtime during cutover, source_ref: closeout.pdf#page=6"
eng-02,Nordbank Deutschland,German commercial bank,True,regulatory reporting,DE,Manual regulatory reporting to BaFin consumed 3 weeks per quarter and was prone to reconciliation errors.,"An automated reporting pipeline with lineage tracking and a reconciliation engine, replacing spreadsheet-based assembly.",Python; Airflow; PostgreSQL; dbt,8,7,"metric: reporting cycle cut from 15 days to 3 days, source_ref: closeout.pdf#page=4; metric: reconciliation errors reduced 80%, source_ref: closeout.pdf#page=4"
eng-03,Meridian Insurance,UK specialist insurer,False,document intelligence,UK,Claims handlers spent hours manually keying data from scanned claim forms and supporting documents.,"An OCR and extraction pipeline that reads scanned claims, extracts structured fields, and routes low-confidence cases to human review.",Python; Tesseract; FastAPI; React,6,5,"metric: manual keying time reduced 62%, source_ref: closeout.pdf#page=3; metric: straight-through processing rate increased to 71%, source_ref: closeout.pdf#page=3"
eng-04,Anadolu Finans,Turkish participation bank,False,core banking,TR,A FlexCube-based core needed migration to a modern platform without disrupting branch operations.,"A migration readiness assessment followed by a phased data and contract migration, with a mock environment for parallel testing.",Java; Oracle; Kafka,19,14,"metric: migration delivered 2 months ahead of schedule, source_ref: closeout.pdf#page=7; metric: branch downtime limited to a single weekend, source_ref: closeout.pdf#page=7"
eng-05,Delta Payments,Netherlands payments provider,False,cloud & observability,NL,An underused observability platform cost significant licence spend while incidents still took hours to diagnose.,"An observability maturity assessment, followed by instrumentation of critical payment paths and consolidation of dashboards and alerting.",Datadog; Kubernetes; Go; Terraform,5,4,"metric: mean time to detect reduced 55%, source_ref: closeout.pdf#page=2; metric: licence spend reduced by 30% through consolidation, source_ref: closeout.pdf#page=2"
eng-06,Sterling Wealth,UK wealth manager,False,data platform,UK,Client reporting data was scattered across four systems with no single source of truth.,A consolidated data platform with a governed semantic layer and automated data-quality checks.,Python; Snowflake; dbt; Airflow,9,8,"metric: client report generation time cut from 4 days to 6 hours, source_ref: closeout.pdf#page=5"
eng-07,Rhein Kredit,German mid-market lender,False,regulatory reporting,DE,New DORA operational-resilience requirements demanded evidence of ICT risk controls the bank could not readily produce.,"A control-evidence platform mapping ICT risks to controls, with automated evidence collection and an auditor-facing view.",Java; Spring Boot; PostgreSQL; React,7,6,"metric: evidence collection effort reduced 70%, source_ref: closeout.pdf#page=3; metric: audit findings closed 40% faster, source_ref: closeout.pdf#page=4"
eng-08,Bosphorus Sigorta,Turkish insurer,False,document intelligence,TR,"Policy documents arrived in inconsistent formats, making automated underwriting checks impossible.",A document normalisation and extraction service producing a consistent structured policy record.,Python; FastAPI; PostgreSQL,4,4,"metric: underwriting review time reduced 38%, source_ref: closeout.pdf#page=2"
eng-09,Cedar Bank,GCC corporate bank,False,data platform,GCC,Corporate onboarding required manually assembling entity profiles from dozens of scattered documents.,An entity-profile extraction pipeline consolidating corporate documents into a single verified profile.,Python; React; PostgreSQL,6,5,"metric: onboarding time reduced from 12 days to 4 days, source_ref: closeout.pdf#page=3; metric: data entry errors reduced 65%, source_ref: closeout.pdf#page=3"
eng-10,Amstel Trust,Netherlands private bank,False,core banking,NL,"A legacy reservation and account platform lacked API access, blocking digital channel development.","A hexagonal ports-and-adapters wrapper exposing governed APIs over the legacy core, allowing incremental replacement.",Java; Spring Boot; Kafka,11,9,"metric: first digital channel launched in 4 months, source_ref: closeout.pdf#page=6"
eng-11,Pera Yatırım,Turkish investment firm,False,cloud & observability,TR,"Deployments were manual and error-prone, with releases taking a full weekend of engineering time.",A CI/CD pipeline with automated testing and blue-green deployment.,Kubernetes; Terraform; Go,4,3,"metric: deployment time reduced from 2 days to 25 minutes, source_ref: closeout.pdf#page=2; metric: failed releases reduced 90%, source_ref: closeout.pdf#page=2"
eng-12,Thames Mutual,UK building society,False,data platform,UK,Reporting was slow and the society wanted to modernise its analytics stack.,"An assessment and roadmap for a modern analytics platform, followed by a proof of concept.",Python; Snowflake,3,2,
